City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Mount Gambier,AU,-37.8333,140.7667,55.31,94,90,21.85,overcast clouds
80,Ardakan,IR,32.31,54.0175,71.98,17,0,5.68,clear sky
81,Ilulissat,GL,69.2167,-51.1,21.22,63,1,0.0,clear sky
82,Sangar,RU,63.9242,127.4739,38.61,71,67,17.72,broken clouds
83,Yellowknife,CA,62.456,-114.3525,46.92,57,75,16.11,broken clouds
84,Sturgeon Falls,CA,46.3646,-79.9326,57.16,62,81,3.31,broken clouds
85,Garda De Sus,RO,46.45,22.8167,47.77,92,98,5.19,overcast clouds
86,Lompoc,US,34.6391,-120.4579,63.57,78,1,10.36,clear sky
87,Chuy,UY,-33.6971,-53.4616,57.25,98,23,5.61,few clouds
88,Angoche,MZ,-16.2325,39.9086,73.51,64,70,17.81,broken clouds
89,Luderitz,NA,-26.6481,15.1594,52.39,88,34,4.83,scattered clouds
90,Puerto Ayora,EC,-0.7393,-90.3518,69.55,93,35,7.0,scattered clouds
91,Vila Velha,BR,-20.3297,-40.2925,73.35,78,0,8.05,clear sky
92,Maldonado,UY,-34.6667,-54.9167,58.39,97,1,5.28,clear sky
93,Berezovyy,RU,51.6667,135.7,58.15,34,41,9.73,scattered clouds
94,Pangnirtung,CA,66.1451,-65.7125,32.49,85,100,4.34,overcast clouds
95,Bengkulu,ID,-3.8004,102.2655,82.08,73,50,11.23,light rain
96,Acapulco,MX,16.8634,-99.8901,82.22,78,90,0.0,overcast clouds
97,Yulara,AU,-25.2406,130.9889,78.64,25,0,11.5,clear sky
98,Longyearbyen,SJ,78.2186,15.6401,46.24,87,75,12.66,light rain
99,Georgetown,MY,5.4112,100.3354,83.89,80,20,3.44,few clouds
100,Saint-Philippe,RE,-21.3585,55.7679,67.55,72,96,16.46,overcast clouds
101,Nuuk,GL,64.1835,-51.7216,34.41,80,12,5.75,few clouds
102,West Monroe,US,32.5185,-92.1476,80.6,84,1,8.05,clear sky
103,Valparaiso,CL,-33.0393,-71.6273,51.44,76,0,3.44,clear sky
104,Hamilton,US,39.1834,-84.5333,77.77,82,1,0.0,clear sky
105,Bubaque,GW,11.2833,-15.8333,80.62,75,100,8.46,light rain
106,Maridi,SS,4.9158,29.4742,65.57,98,97,4.43,overcast clouds
107,Horadiz,AZ,39.4488,47.3353,59.77,72,1,3.71,clear sky
108,Batagay,RU,67.6333,134.6333,32.2,89,100,6.11,overcast clouds
109,Clyde River,CA,70.4692,-68.5914,29.39,84,100,3.02,overcast clouds
110,Vardo,NO,70.3705,31.1107,43.5,77,4,20.65,clear sky
111,Maneromango,TZ,-7.1988,38.7848,65.53,95,32,3.71,scattered clouds
112,Acarau,BR,-2.8856,-40.12,78.19,80,7,18.57,clear sky
113,Thompson,CA,55.7435,-97.8558,55.56,71,75,2.3,broken clouds
114,Narrabri,AU,-30.3167,149.7833,68.09,34,0,4.61,clear sky
115,Port Macquarie,AU,-31.4333,152.9167,69.76,45,0,9.66,clear sky
116,Itaituba,BR,-4.2761,-55.9836,76.69,74,94,1.12,overcast clouds
117,Kununurra,AU,-15.7667,128.7333,91.38,43,43,8.05,scattered clouds
118,Shieli,KZ,44.1667,66.75,64.69,25,1,10.96,clear sky
119,Kasongo-Lunda,CD,-6.4667,16.8167,72.21,74,63,1.77,broken clouds
120,Sao Filipe,CV,14.8961,-24.4956,78.57,84,84,4.25,broken clouds
121,Norman Wells,CA,65.282,-126.8329,51.84,62,75,10.36,broken clouds
122,Upernavik,GL,72.7868,-56.1549,20.61,62,17,5.64,few clouds
123,Severo-Kurilsk,RU,50.6789,156.125,53.49,88,100,13.49,overcast clouds
124,Felanitx,ES,39.4696,3.1483,72.95,81,1,5.68,clear sky
125,Airai,TL,-8.9266,125.4092,77.13,38,19,5.82,few clouds
126,Lagunas,PE,-5.2269,-75.6753,75.83,74,13,2.35,few clouds
127,Kisangani,CD,0.5167,25.2,68.45,98,98,2.1,overcast clouds
128,Port Elizabeth,ZA,-33.918,25.5701,61.09,77,0,14.97,clear sky
129,Kaitangata,NZ,-46.2817,169.8464,55.53,60,100,7.36,light rain
130,Miles City,US,46.4083,-105.8406,82.51,19,1,11.5,clear sky
131,Husavik,IS,66.0449,-17.3389,42.71,81,62,11.07,broken clouds
132,Tasiilaq,GL,65.6145,-37.6368,37.56,66,100,4.99,overcast clouds
133,Port Blair,IN,11.6667,92.75,82.44,89,59,5.75,broken clouds
134,Pevek,RU,69.7008,170.3133,31.5,76,100,15.79,overcast clouds
135,Wagga Wagga,AU,-35.1167,147.3667,65.61,48,40,12.66,scattered clouds
136,Quang Ngai,VN,15.1167,108.8,82.9,78,100,3.91,moderate rain
137,Santa Lucia,ES,27.9117,-15.5407,65.52,76,40,12.66,scattered clouds
138,Berlevag,NO,70.8578,29.0864,41.14,78,0,19.73,clear sky
139,Atambua,ID,-9.1061,124.8925,85.73,44,29,2.17,scattered clouds
